ts,o,h,l,c,v
1787112360000,64299.5,64299.5,64292.6,64292.6,0.937456
1787112420000,64292.6,64297.7,64291.5,64297.6,1.24238
1787112480000,64297.6,64297.7,64294.7,64294.7,0.465309
1787112540000,64294.7,64294.8,64294.7,64294.7,0.031507
1787112600000,64294.7,64316.0,64294.7,64316.0,3.563861
1787112660000,64316.0,64322.0,64315.9,64321.9,0.257537
1787112720000,64321.9,64323.8,64321.9,64323.7,0.193097
1787112780000,64323.7,64323.8,64312.0,64312.1,1.998549
1787112840000,64312.1,64312.1,64312.0,64312.1,0.017047
1787112900000,64312.1,64336.1,64312.0,64334.6,5.335861
1787112960000,64334.6,64343.3,64325.1,64343.3,4.036841
1787113020000,64343.3,64343.3,64341.1,64341.1,1.883252
1787113080000,64341.1,64344.9,64341.1,64344.9,1.254986
1787113140000,64344.9,64360.4,64344.9,64360.4,5.518189
1787113200000,64360.4,64378.2,64360.4,64378.1,0.899306
1787113260000,64378.1,64391.1,64376.0,64391.1,2.450078
1787113320000,64391.1,64391.1,64365.9,64365.9,3.648533
1787113380000,64365.9,64366.0,64365.9,64365.9,0.076255
1787113440000,64365.9,64372.2,64365.9,64372.1,1.335589
1787113500000,64372.1,64372.2,64370.0,64370.0,0.777982
1787113560000,64370.0,64370.5,64370.0,64370.5,1.11616
1787113620000,64370.5,64370.5,64369.2,64369.2,0.466161
1787113680000,64369.2,64369.3,64356.4,64356.5,2.017296
1787113740000,64356.5,64356.5,64355.6,64355.6,0.197667
1787113800000,64355.6,64355.6,64344.0,64344.0,1.620219
1787113860000,64344.0,64344.0,64325.6,64325.7,1.788246
1787113920000,64325.7,64332.4,64325.6,64332.3,2.696907
1787113980000,64332.3,64332.4,64327.7,64331.0,1.581843
1787114040000,64331.0,64350.0,64331.0,64350.0,3.953433
1787114100000,64350.0,64367.3,64350.0,64367.3,0.868051
1787114160000,64367.3,64367.3,64351.9,64351.9,3.349056
1787114220000,64351.9,64351.9,64351.8,64351.9,0.123859
1787114280000,64351.9,64351.9,64341.6,64341.6,1.38797
1787114340000,64341.6,64341.7,64341.6,64341.6,0.021694
1787114400000,64341.6,64341.7,64341.6,64341.6,0.043333
1787114460000,64341.6,64341.7,64341.6,64341.6,0.365833
1787114520000,64341.6,64341.7,64341.6,64341.6,0.161693
1787114580000,64341.6,64365.9,64334.8,64344.4,23.860463
1787114640000,64344.4,64344.4,64344.3,64344.4,0.184415
1787114700000,64344.4,64363.1,64344.3,64363.0,3.61802
1787114760000,64363.0,64369.3,64363.0,64366.8,1.834688
1787114820000,64366.8,64366.8,64357.7,64357.7,1.004707
1787114880000,64357.7,64357.7,64354.6,64354.6,1.073575
1787114940000,64354.6,64354.7,64344.6,64344.6,1.138878
1787115000000,64344.6,64344.7,64328.0,64328.0,0.736555
1787115060000,64328.0,64328.0,64322.9,64322.9,0.407594
1787115120000,64322.9,64332.7,64322.9,64332.6,2.885288
1787115180000,64332.6,64332.7,64327.9,64327.9,0.441322
1787115240000,64327.9,64327.9,64323.1,64323.2,1.607463
1787115300000,64323.2,64323.2,64302.5,64302.6,1.642118
1787115360000,64302.6,64302.6,64302.5,64302.6,0.058507
1787115420000,64302.6,64310.8,64302.5,64310.8,3.754501
1787115480000,64310.8,64314.6,64310.8,64314.6,1.11151
1787115540000,64314.6,64316.0,64313.0,64313.0,1.789786
1787115600000,64313.0,64313.4,64308.7,64308.8,2.165231
1787115660000,64308.8,64314.5,64308.8,64314.5,2.486726
1787115720000,64314.5,64324.4,64314.5,64323.7,1.75017
1787115780000,64323.7,64339.5,64323.3,64337.2,6.719052
1787115840000,64337.2,64351.5,64337.2,64348.2,2.172723
1787115900000,64348.2,64376.8,64348.2,64370.6,11.347193
1787115960000,64370.6,64370.6,64345.3,64345.3,2.970708
1787116020000,64345.3,64362.1,64345.2,64362.0,2.136645
1787116080000,64362.0,64370.9,64362.0,64370.9,0.794875
1787116140000,64370.9,64381.4,64370.9,64377.0,2.245521
1787116200000,64377.0,64391.2,64377.0,64391.2,1.116572
1787116260000,64391.2,64408.7,64383.0,64408.7,3.557952
1787116320000,64408.7,64408.8,64403.9,64403.9,1.624487
1787116380000,64403.9,64403.9,64401.4,64401.4,0.551716
1787116440000,64401.4,64408.8,64400.0,64400.0,4.087368
1787116500000,64400.0,64400.0,64380.0,64380.0,1.278118
1787116560000,64380.0,64385.3,64380.0,64381.0,1.296541
